ID,年齢,職業,婚姻,学歴,債務不履行,平均残高,住宅ローン,個人ローン,連絡手段,通話回数_販促中,経過日数,通話回数_販促前,前回販促結果,今回販促結果
750,25,admin.,single,tertiary,no,1185,no,no,cellular,1,114,1,failure,no
751,19,student,single,secondary,no,329,no,no,cellular,1,190,2,success,no
752,37,management,married,tertiary,no,630,no,no,cellular,1,87,1,success,no
753,34,management,married,tertiary,no,158,no,no,cellular,3,181,6,success,no
754,30,services,single,secondary,yes,-366,yes,no,cellular,1,999,0,unknown,no
755,63,management,married,unknown,no,2352,no,no,telephone,7,999,0,unknown,no
756,37,technician,single,tertiary,no,0,yes,no,cellular,6,999,0,unknown,no
757,34,management,single,unknown,no,6013,yes,no,cellular,1,999,0,unknown,no
758,52,entrepreneur,single,tertiary,no,3469,yes,no,cellular,1,999,0,unknown,no
759,39,technician,married,tertiary,no,94,yes,yes,unknown,1,999,0,unknown,no
760,31,management,single,tertiary,no,3384,no,no,cellular,3,187,3,success,no
761,30,blue-collar,single,secondary,yes,239,yes,no,unknown,1,999,0,unknown,no
762,33,technician,married,secondary,no,806,no,no,cellular,1,999,0,unknown,no
763,47,technician,married,secondary,no,0,no,no,cellular,1,10,1,failure,no
764,48,management,single,tertiary,no,830,no,no,cellular,4,999,0,unknown,no
765,35,management,single,tertiary,no,2646,no,no,cellular,8,183,2,success,no
766,72,retired,married,primary,no,1388,no,no,telephone,1,999,0,unknown,no
767,38,services,married,secondary,no,2678,no,no,cellular,2,187,1,success,no
768,76,retired,divorced,primary,no,802,no,no,cellular,1,181,5,success,no
769,42,management,married,tertiary,no,-556,yes,yes,cellular,3,347,3,failure,no
770,51,self-employed,married,secondary,no,95,yes,no,cellular,4,999,0,unknown,no
771,52,blue-collar,married,secondary,no,2230,no,no,cellular,3,999,0,unknown,no
772,29,management,single,tertiary,no,1808,no,no,cellular,2,433,1,success,no
773,40,management,single,tertiary,no,0,no,no,cellular,6,999,0,unknown,no
774,40,services,married,primary,no,1082,yes,no,unknown,2,999,0,unknown,no
775,24,student,single,secondary,no,387,no,no,telephone,8,999,0,unknown,no
776,47,unemployed,married,primary,no,324,no,no,cellular,2,999,0,unknown,no
777,31,management,married,tertiary,no,877,no,no,cellular,1,93,7,nonexistent,no
778,49,technician,married,tertiary,no,2611,no,no,cellular,2,999,0,unknown,no
779,22,admin.,single,secondary,no,114,no,no,cellular,1,999,0,unknown,no
780,28,self-employed,single,tertiary,no,4579,no,no,cellular,2,999,0,unknown,no
781,49,blue-collar,single,primary,no,2146,yes,no,cellular,2,353,2,nonexistent,no
782,34,admin.,married,secondary,no,-33,yes,yes,cellular,1,999,0,unknown,no
783,36,blue-collar,married,primary,no,378,yes,no,cellular,1,999,0,unknown,no
784,31,management,single,tertiary,no,354,no,no,cellular,1,9,2,success,no
785,71,retired,divorced,primary,no,275,no,no,cellular,1,425,1,success,no
786,35,admin.,single,secondary,no,321,no,no,cellular,1,412,3,nonexistent,no
787,27,technician,single,secondary,no,439,yes,no,cellular,2,999,0,unknown,no
788,53,unemployed,divorced,secondary,no,587,no,no,cellular,1,999,0,unknown,no
789,33,blue-collar,married,secondary,no,315,no,no,cellular,3,999,0,unknown,no
790,41,management,married,tertiary,no,2226,no,no,cellular,2,99,1,failure,no
791,48,admin.,married,primary,no,3644,yes,yes,telephone,9,999,0,unknown,no
792,36,admin.,married,secondary,no,212,yes,yes,cellular,6,999,0,unknown,no
793,22,blue-collar,single,secondary,no,682,no,no,cellular,2,91,1,success,no
794,24,student,single,primary,no,474,no,no,cellular,1,999,0,unknown,no
795,38,technician,married,secondary,no,976,yes,no,cellular,3,999,0,unknown,no
796,49,management,married,primary,no,3371,no,no,cellular,2,999,0,unknown,no
797,46,admin.,married,unknown,no,5511,no,no,cellular,2,389,1,success,no
798,66,retired,married,secondary,no,154,no,no,cellular,5,181,2,failure,no
799,51,blue-collar,divorced,primary,no,-19,yes,no,cellular,1,296,11,failure,no
800,25,management,married,tertiary,no,-242,yes,yes,cellular,4,332,4,nonexistent,no
801,37,management,single,tertiary,no,8828,no,no,unknown,3,999,0,unknown,no
802,25,student,single,secondary,no,4147,no,no,cellular,3,999,0,unknown,no
803,54,retired,married,secondary,no,1371,no,no,telephone,2,999,0,unknown,no
804,26,technician,single,secondary,no,1231,yes,no,cellular,1,93,7,success,no
805,29,admin.,single,secondary,no,265,yes,no,cellular,1,184,1,failure,no
806,32,management,single,tertiary,no,20,no,no,cellular,2,999,0,unknown,no
807,40,technician,single,tertiary,no,1175,no,no,cellular,1,999,0,unknown,no
808,49,technician,divorced,tertiary,no,1807,yes,no,cellular,1,999,0,unknown,no
809,66,retired,married,primary,no,2883,no,no,cellular,1,999,0,unknown,no
810,34,management,married,tertiary,no,8000,no,no,cellular,1,260,2,failure,no
811,47,management,married,tertiary,no,2351,no,no,cellular,1,999,0,unknown,no
812,28,self-employed,single,tertiary,no,2503,no,no,cellular,1,999,0,unknown,no
813,34,admin.,married,tertiary,no,69,no,yes,cellular,1,205,2,failure,no
814,25,blue-collar,single,primary,no,52,yes,no,unknown,2,999,0,unknown,no
815,26,management,single,tertiary,no,390,no,no,cellular,1,999,0,unknown,no
816,38,management,married,tertiary,no,165,yes,no,cellular,1,260,2,nonexistent,no
817,37,services,married,secondary,no,1543,yes,no,cellular,1,10,6,failure,no
818,29,blue-collar,married,secondary,no,8,yes,yes,cellular,1,999,0,unknown,no
819,51,management,married,tertiary,no,0,no,no,unknown,1,999,0,unknown,no
820,64,retired,married,secondary,no,4787,no,no,cellular,1,182,1,success,no
821,40,technician,married,secondary,no,42,no,no,cellular,2,999,0,unknown,no
822,28,technician,single,tertiary,no,386,no,no,cellular,1,999,0,unknown,no
823,47,technician,married,secondary,no,293,no,no,cellular,1,90,1,success,no
824,61,retired,married,tertiary,no,3140,yes,yes,cellular,4,98,1,unknown,no
825,45,technician,married,secondary,no,6993,yes,no,cellular,1,999,0,unknown,no
826,57,management,divorced,tertiary,no,6468,yes,no,cellular,1,157,4,failure,no
827,37,management,married,secondary,no,565,no,no,cellular,1,93,3,failure,no
828,60,services,married,tertiary,no,4256,yes,no,cellular,1,92,4,success,no
829,44,blue-collar,married,unknown,no,1529,yes,no,cellular,1,999,0,unknown,no
830,31,blue-collar,married,secondary,no,1406,yes,yes,cellular,2,999,0,unknown,no
831,48,management,married,tertiary,no,5320,yes,no,unknown,1,999,0,unknown,no
832,34,management,single,tertiary,no,3821,yes,no,cellular,2,999,0,unknown,no
833,30,management,single,tertiary,no,3340,no,no,cellular,3,999,0,unknown,no
834,31,management,single,tertiary,no,3384,no,no,cellular,1,104,2,success,no
835,52,technician,married,secondary,no,386,no,no,cellular,1,999,0,unknown,no
836,46,blue-collar,married,unknown,no,842,yes,no,telephone,1,999,0,unknown,no
837,31,management,divorced,tertiary,no,883,yes,no,cellular,2,106,1,failure,no
838,40,unemployed,married,primary,no,1908,yes,no,cellular,2,999,0,unknown,no
839,72,retired,married,secondary,no,1129,no,no,cellular,1,91,1,success,no
840,28,management,single,tertiary,no,1825,no,no,cellular,1,999,0,unknown,no
841,60,retired,divorced,tertiary,no,2,no,no,cellular,4,390,2,nonexistent,no
842,52,unemployed,married,primary,no,959,no,no,telephone,2,999,0,unknown,no
843,52,admin.,single,secondary,no,-528,yes,yes,cellular,2,999,0,unknown,no
844,41,entrepreneur,married,primary,no,0,no,no,cellular,2,389,1,nonexistent,no
845,47,management,married,unknown,no,4189,yes,no,cellular,3,999,0,unknown,no
846,22,admin.,single,secondary,no,372,no,no,cellular,1,999,0,unknown,no
847,23,technician,single,secondary,no,598,no,no,cellular,1,195,1,failure,no
848,52,management,married,tertiary,no,4675,no,no,cellular,3,999,0,unknown,no
849,32,management,married,tertiary,no,376,yes,no,cellular,4,999,0,unknown,no
850,36,technician,single,secondary,no,125,yes,no,cellular,3,999,0,unknown,no
851,39,services,single,secondary,no,403,yes,no,cellular,3,999,0,unknown,no
852,37,services,single,secondary,no,278,yes,no,unknown,3,999,0,unknown,no
853,27,admin.,married,secondary,no,0,yes,no,cellular,1,999,0,unknown,no
854,31,management,single,secondary,no,360,yes,no,cellular,1,999,0,unknown,no
855,20,student,single,secondary,no,153,no,no,unknown,1,999,0,unknown,no
856,21,student,single,unknown,no,53,no,no,cellular,1,999,0,unknown,no
857,35,unemployed,single,tertiary,no,154,no,no,cellular,4,181,2,failure,no
858,32,technician,married,tertiary,no,2976,yes,no,cellular,1,175,5,failure,no
859,32,admin.,married,secondary,no,684,yes,no,cellular,3,999,0,unknown,no
860,27,admin.,single,secondary,no,261,yes,yes,cellular,4,999,0,unknown,no
861,34,services,single,tertiary,no,3119,no,no,cellular,1,999,0,unknown,no
862,45,management,married,tertiary,no,31472,no,no,cellular,7,999,0,unknown,no
863,52,blue-collar,married,secondary,no,955,no,yes,cellular,1,48,3,success,no
864,46,technician,married,secondary,no,940,no,no,cellular,2,999,0,unknown,no
865,36,student,single,tertiary,no,129,no,no,cellular,1,93,1,success,no
866,48,management,married,tertiary,no,2351,no,no,cellular,1,105,3,success,no
867,60,housemaid,married,secondary,no,0,no,no,telephone,2,181,5,failure,no
868,35,blue-collar,divorced,primary,no,1792,yes,no,cellular,6,999,0,unknown,no
869,35,services,married,unknown,no,618,no,no,cellular,1,104,1,success,no
870,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,1,999,0,unknown,no
871,30,admin.,married,secondary,no,8781,yes,no,cellular,1,999,0,unknown,no
872,25,student,single,secondary,no,125,no,no,cellular,1,92,2,success,no
873,35,management,single,tertiary,no,331,no,no,cellular,2,999,0,unknown,no
874,40,technician,single,tertiary,no,1646,yes,no,cellular,1,242,2,failure,no
875,44,housemaid,single,primary,no,1059,no,no,unknown,1,999,0,unknown,no
876,42,blue-collar,married,secondary,no,413,yes,no,cellular,2,184,2,success,no
877,57,admin.,married,secondary,no,6005,yes,no,cellular,1,323,6,failure,no
878,28,admin.,married,secondary,no,1595,no,no,cellular,1,254,4,success,no
879,35,technician,single,secondary,no,1227,no,no,cellular,4,90,6,nonexistent,no
880,59,retired,married,primary,no,3648,no,no,telephone,2,126,3,success,no
881,32,blue-collar,single,primary,no,121,yes,no,cellular,1,999,0,unknown,no
882,57,blue-collar,married,primary,no,3109,no,no,cellular,2,999,0,unknown,no
883,33,management,married,tertiary,no,271,yes,no,cellular,2,999,0,unknown,no
884,37,unemployed,single,secondary,no,381,yes,no,unknown,2,999,0,unknown,no
885,35,technician,single,secondary,no,344,no,no,cellular,16,999,0,unknown,no
886,34,housemaid,married,secondary,no,0,yes,no,unknown,1,999,0,unknown,no
887,52,blue-collar,married,primary,no,306,no,no,cellular,1,999,0,unknown,no
888,47,management,married,tertiary,no,2306,no,no,telephone,4,999,0,unknown,no
889,32,services,married,secondary,no,689,yes,yes,cellular,3,999,0,unknown,no
890,40,unemployed,married,secondary,no,1960,yes,no,unknown,6,999,0,unknown,no
891,46,technician,single,secondary,no,874,no,no,cellular,3,999,0,unknown,no
892,53,technician,married,secondary,no,1319,no,no,unknown,3,999,0,unknown,no
893,22,student,single,primary,no,423,no,no,cellular,1,179,10,success,no
894,30,self-employed,married,tertiary,no,2666,no,no,cellular,1,999,0,unknown,no
895,40,management,single,tertiary,no,3840,yes,no,cellular,2,409,2,success,no
896,68,retired,married,secondary,no,19317,yes,no,cellular,1,999,0,unknown,no
897,25,student,single,secondary,no,1957,no,no,cellular,4,385,1,failure,no
898,70,retired,divorced,primary,no,482,no,no,telephone,1,181,3,success,no
899,46,blue-collar,married,primary,no,1085,yes,yes,cellular,2,353,58,nonexistent,no
900,38,blue-collar,single,tertiary,no,172,yes,no,cellular,1,999,0,unknown,no
901,30,blue-collar,married,secondary,no,0,yes,yes,cellular,1,999,0,unknown,no
902,25,admin.,single,secondary,no,1871,no,no,cellular,1,96,1,success,no
903,47,technician,married,secondary,no,335,no,no,cellular,1,999,0,unknown,no
904,45,management,single,tertiary,no,4831,no,no,cellular,11,999,0,unknown,no
905,31,student,single,secondary,no,3511,no,no,cellular,1,96,1,success,no
906,36,blue-collar,single,secondary,no,40,yes,no,cellular,3,475,4,success,no
907,34,blue-collar,married,primary,no,329,yes,no,cellular,1,343,1,failure,no
908,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,999,0,unknown,no
909,46,management,divorced,tertiary,no,-130,yes,no,cellular,2,999,0,unknown,no
910,29,management,single,tertiary,no,983,yes,no,cellular,2,999,0,unknown,no
911,47,services,married,secondary,no,367,yes,no,cellular,4,999,0,unknown,no
912,26,admin.,single,secondary,no,338,no,no,cellular,1,188,2,unknown,no
913,32,services,single,secondary,no,-198,yes,no,unknown,3,999,0,unknown,no
914,31,management,single,tertiary,no,1858,no,no,cellular,3,999,0,unknown,no
915,32,student,single,tertiary,no,64,no,no,cellular,4,105,5,failure,no
916,54,management,divorced,tertiary,no,5475,no,no,cellular,1,91,4,success,no
917,23,services,single,secondary,no,488,no,no,cellular,1,92,2,nonexistent,no
918,37,services,single,tertiary,no,1189,no,no,cellular,9,199,4,nonexistent,no
919,56,admin.,married,secondary,no,45,no,no,unknown,1,999,0,unknown,no
920,28,admin.,single,secondary,no,352,yes,yes,cellular,1,999,0,unknown,no
921,55,housemaid,married,primary,no,2152,no,no,unknown,2,999,0,unknown,no
922,44,admin.,single,secondary,no,1534,no,no,cellular,1,95,3,success,no
923,41,management,single,tertiary,no,1253,no,no,cellular,5,999,0,unknown,no
924,42,management,married,tertiary,no,372,yes,no,cellular,3,1,2,success,no
925,35,blue-collar,married,secondary,no,5639,yes,no,cellular,2,999,0,unknown,no
926,59,retired,married,primary,no,3648,no,no,telephone,3,999,0,unknown,no
927,35,technician,single,secondary,no,1227,no,no,cellular,5,134,10,success,no
928,30,management,single,tertiary,no,697,no,no,cellular,2,181,8,success,no
929,54,services,divorced,secondary,no,0,no,no,cellular,1,81,2,success,no
930,30,technician,single,secondary,no,2544,no,no,cellular,2,999,0,unknown,no
931,34,management,single,tertiary,no,13014,no,no,cellular,1,999,0,unknown,no
932,42,management,married,tertiary,no,2665,yes,no,cellular,2,126,11,failure,no
933,48,management,divorced,tertiary,no,2263,no,no,cellular,2,999,0,unknown,no
934,25,student,married,tertiary,no,10,yes,no,cellular,4,999,0,unknown,no
935,27,admin.,single,unknown,no,861,no,no,cellular,4,999,0,unknown,no
936,29,blue-collar,married,secondary,no,7863,yes,no,cellular,1,999,0,unknown,no
937,35,technician,single,secondary,no,354,no,no,cellular,3,999,0,unknown,no
938,21,student,single,secondary,no,2488,no,no,cellular,1,999,0,unknown,no
939,43,management,divorced,tertiary,no,2367,no,no,cellular,2,181,4,success,no
940,58,retired,married,primary,no,4158,no,no,cellular,2,999,0,unknown,no
941,29,housemaid,single,tertiary,no,2196,no,no,cellular,1,999,0,unknown,no
942,45,management,single,tertiary,no,4831,no,no,cellular,3,182,11,success,no
943,30,admin.,single,secondary,no,2568,no,no,cellular,1,100,4,nonexistent,no
944,58,retired,divorced,tertiary,no,3237,no,no,telephone,1,999,0,unknown,no
945,59,retired,married,tertiary,no,148,yes,yes,cellular,2,366,1,nonexistent,no
946,55,management,divorced,tertiary,no,2037,no,no,cellular,2,273,1,failure,no
947,26,management,single,tertiary,no,3704,no,no,cellular,4,999,0,unknown,no
948,57,blue-collar,married,secondary,no,1540,yes,no,cellular,1,999,0,unknown,no
949,61,management,single,tertiary,no,2,no,no,cellular,1,114,3,failure,no
950,53,blue-collar,divorced,primary,no,2656,yes,no,unknown,2,999,0,unknown,no
951,30,management,single,tertiary,no,4808,no,no,cellular,1,999,0,unknown,no
952,31,services,married,secondary,no,447,no,no,cellular,3,999,0,unknown,no
953,28,services,single,secondary,no,340,yes,no,cellular,2,999,0,unknown,no
954,33,technician,married,secondary,no,183,no,no,cellular,2,182,3,nonexistent,no
955,35,management,single,tertiary,no,1396,yes,no,cellular,1,300,1,failure,no
956,46,services,divorced,secondary,no,4329,no,no,cellular,2,999,0,unknown,no
957,46,management,married,tertiary,no,0,no,no,cellular,13,999,0,unknown,no
958,48,management,single,tertiary,no,5689,no,no,cellular,1,999,0,unknown,no
959,39,management,married,tertiary,no,2939,no,no,cellular,2,999,0,unknown,no
960,29,blue-collar,single,tertiary,no,455,no,no,telephone,2,36,1,success,no
961,59,management,married,tertiary,no,553,yes,no,cellular,3,999,0,unknown,no
962,50,self-employed,divorced,tertiary,no,13,yes,no,cellular,1,999,0,unknown,no
963,39,services,divorced,secondary,no,687,yes,no,cellular,1,999,0,unknown,no
964,31,management,married,tertiary,no,1812,no,no,cellular,1,999,0,unknown,no
965,75,retired,married,primary,no,1413,no,no,cellular,2,188,2,success,no
966,31,management,single,tertiary,no,924,no,no,cellular,1,999,0,unknown,no
967,27,management,single,tertiary,no,107,no,no,cellular,3,999,0,unknown,no
968,25,management,single,tertiary,no,316,no,no,cellular,2,999,0,unknown,no
969,45,admin.,divorced,secondary,no,397,yes,yes,cellular,1,95,2,success,no
970,56,management,divorced,tertiary,no,4266,yes,no,unknown,4,999,0,unknown,no
971,53,housemaid,married,primary,no,362,no,no,cellular,2,999,0,unknown,no
972,60,management,married,tertiary,no,3401,no,no,cellular,1,270,1,failure,no
973,28,unemployed,single,primary,no,1374,no,no,cellular,4,999,0,unknown,no
974,38,technician,married,secondary,no,10596,no,no,cellular,1,197,4,nonexistent,no
975,38,technician,married,secondary,no,557,yes,no,cellular,4,999,0,unknown,no
976,30,technician,single,tertiary,no,655,no,no,cellular,1,202,2,success,no
977,36,admin.,divorced,secondary,no,592,no,no,cellular,2,99,5,failure,no
978,44,unemployed,divorced,tertiary,no,0,no,no,cellular,3,999,0,unknown,no
979,29,student,single,secondary,no,314,no,no,cellular,2,116,4,failure,no
980,53,technician,single,tertiary,no,185,yes,no,cellular,2,999,0,unknown,no
981,47,technician,married,secondary,no,2480,no,no,cellular,2,999,0,unknown,no
982,26,admin.,single,primary,no,-122,yes,no,unknown,3,999,0,unknown,no
983,31,management,single,secondary,no,1088,yes,no,cellular,2,999,0,unknown,no
984,27,management,single,tertiary,no,12956,yes,no,unknown,3,999,0,unknown,no
985,45,entrepreneur,married,tertiary,no,20138,yes,no,cellular,5,999,0,unknown,no
986,54,blue-collar,divorced,primary,no,4401,no,no,telephone,1,183,2,success,no
987,46,technician,divorced,secondary,no,-90,no,yes,telephone,1,999,0,unknown,no
988,55,retired,divorced,secondary,no,-268,no,yes,cellular,1,999,0,unknown,no
989,36,technician,divorced,secondary,no,54,yes,no,cellular,3,999,0,unknown,no
990,36,student,single,secondary,no,17,no,no,cellular,1,999,0,unknown,no
991,25,technician,single,secondary,no,505,no,yes,cellular,2,999,0,unknown,no
992,50,unemployed,divorced,unknown,no,1088,no,no,cellular,1,999,0,unknown,no
993,29,technician,single,secondary,no,6,no,no,cellular,1,999,0,unknown,no
994,74,retired,married,secondary,no,1714,no,no,telephone,1,999,0,unknown,no
995,32,technician,married,secondary,no,473,no,yes,cellular,3,999,0,unknown,no
996,61,retired,married,tertiary,no,2557,yes,no,cellular,1,91,4,success,no
997,59,management,married,tertiary,no,5397,no,no,cellular,3,999,0,unknown,no
998,59,retired,divorced,secondary,no,514,no,no,cellular,6,90,1,success,no
999,27,blue-collar,single,secondary,no,3792,no,no,cellular,2,999,0,unknown,no
1000,28,admin.,single,secondary,no,127,no,no,cellular,2,999,0,unknown,no
1001,60,retired,divorced,secondary,no,4243,no,no,cellular,2,999,0,unknown,no
1002,49,entrepreneur,married,secondary,no,687,yes,no,cellular,1,999,0,unknown,no
1003,58,blue-collar,married,primary,no,5188,yes,no,cellular,6,999,0,unknown,no
1004,35,student,married,tertiary,no,387,yes,no,cellular,3,347,3,failure,no
1005,28,blue-collar,single,secondary,no,524,yes,no,cellular,2,999,0,unknown,no
1006,45,admin.,married,secondary,no,3006,no,no,cellular,2,999,0,unknown,no
1007,34,blue-collar,married,secondary,no,1454,yes,no,cellular,2,297,2,failure,no
1008,61,admin.,married,tertiary,no,1332,no,no,cellular,1,999,0,unknown,no
1009,45,management,married,tertiary,no,4119,yes,yes,telephone,2,283,1,success,no
1010,51,management,married,tertiary,no,346,no,no,cellular,2,192,3,failure,no
1011,30,blue-collar,single,secondary,no,315,no,no,cellular,1,999,0,unknown,no
1012,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,1,999,0,unknown,no
1013,55,technician,divorced,secondary,no,3450,no,no,cellular,1,183,1,failure,no
1014,44,unemployed,single,primary,yes,-4,no,yes,cellular,2,999,0,unknown,no
1015,58,services,divorced,secondary,no,462,no,no,cellular,1,93,1,success,no
1016,51,admin.,single,secondary,no,895,no,no,cellular,2,999,0,unknown,no
1017,33,management,married,tertiary,no,0,yes,no,cellular,1,999,0,unknown,no
1018,34,technician,married,tertiary,no,197,no,no,cellular,3,999,0,unknown,no
1019,31,admin.,single,tertiary,no,355,yes,no,cellular,1,999,0,unknown,no
1020,30,self-employed,single,secondary,no,-617,no,yes,cellular,1,999,0,unknown,no
1021,30,entrepreneur,married,secondary,no,12737,no,yes,cellular,2,999,0,unknown,no
1022,27,management,married,tertiary,no,802,no,no,cellular,1,999,0,unknown,no
1023,32,self-employed,single,tertiary,no,658,yes,no,cellular,1,999,0,unknown,no
1024,18,student,single,primary,no,608,no,no,cellular,1,93,1,success,no
1025,60,unemployed,married,secondary,no,957,no,no,cellular,1,184,3,success,no
1026,37,technician,married,tertiary,no,127,yes,no,cellular,1,193,1,success,no
1027,33,entrepreneur,married,secondary,no,-627,yes,yes,cellular,1,999,0,unknown,no
1028,36,technician,married,tertiary,no,341,no,no,cellular,1,999,0,unknown,no
1029,60,retired,divorced,secondary,no,1091,no,no,cellular,5,999,0,unknown,no
1030,37,self-employed,single,tertiary,no,1188,no,no,cellular,1,999,0,unknown,no
1031,42,services,married,secondary,no,1376,yes,no,cellular,4,999,0,unknown,no
1032,38,admin.,married,secondary,no,1767,yes,no,cellular,4,239,7,success,no
1033,35,technician,married,tertiary,no,3160,yes,no,cellular,2,95,1,failure,no
1034,54,management,married,tertiary,no,1464,no,no,cellular,2,94,1,success,no
1035,39,technician,single,tertiary,no,393,no,no,cellular,1,999,0,unknown,no
1036,44,management,married,unknown,no,282,no,no,cellular,3,999,0,unknown,no
1037,27,entrepreneur,married,tertiary,no,139,no,no,cellular,5,999,0,unknown,no
1038,24,student,single,secondary,no,1123,no,no,cellular,1,412,1,nonexistent,no
1039,36,management,married,tertiary,no,0,no,no,telephone,9,999,0,unknown,no
1040,63,entrepreneur,married,secondary,no,3904,no,no,telephone,2,187,2,success,no
1041,35,management,divorced,tertiary,no,2885,no,no,cellular,3,43,8,nonexistent,no
1042,29,admin.,divorced,secondary,no,-254,yes,no,cellular,2,999,0,unknown,no
1043,34,management,single,tertiary,no,275,no,no,cellular,2,455,23,nonexistent,no
1044,32,technician,married,secondary,no,303,yes,no,cellular,1,267,4,failure,no
1045,41,admin.,divorced,secondary,no,6046,yes,yes,telephone,6,182,2,success,no
1046,46,admin.,married,secondary,no,-522,yes,no,cellular,3,239,13,nonexistent,no
1047,24,blue-collar,single,secondary,no,167,no,yes,cellular,2,999,0,unknown,no
1048,28,management,single,tertiary,no,6784,no,no,cellular,1,115,3,nonexistent,no
1049,47,management,single,tertiary,no,551,no,no,cellular,1,999,0,unknown,no
1050,70,retired,married,primary,no,6538,no,no,cellular,1,999,0,unknown,no
1051,41,blue-collar,married,secondary,yes,720,no,yes,cellular,1,999,0,unknown,no
1052,49,management,married,secondary,no,249,no,no,telephone,1,999,0,unknown,no
1053,29,management,married,tertiary,no,1441,yes,no,cellular,2,999,0,unknown,no
1054,25,services,single,secondary,no,162,yes,no,cellular,2,999,0,unknown,no
1055,57,retired,married,unknown,no,230,no,no,cellular,2,210,3,failure,no
1056,39,blue-collar,married,unknown,no,1181,yes,no,cellular,2,999,0,unknown,no
1057,25,student,single,secondary,no,108,no,no,cellular,3,999,0,unknown,no
1058,38,technician,married,secondary,no,6728,no,no,cellular,1,96,4,success,no
1059,36,entrepreneur,divorced,tertiary,no,3407,no,no,cellular,4,85,4,success,no
1060,29,management,single,tertiary,no,765,no,no,cellular,1,999,0,unknown,no
1061,39,blue-collar,married,secondary,no,167,yes,yes,cellular,1,999,0,unknown,no
1062,75,retired,married,secondary,no,3771,no,no,telephone,1,183,1,failure,no
1063,32,technician,single,tertiary,no,5514,no,no,telephone,1,999,0,unknown,no
1064,38,admin.,single,secondary,no,262,no,no,cellular,2,180,6,failure,no
1065,43,admin.,married,secondary,no,132,no,no,cellular,1,84,3,success,no
1066,60,technician,married,secondary,no,259,no,no,cellular,1,386,2,success,no
1067,46,services,divorced,secondary,no,0,no,no,unknown,3,999,0,unknown,no
1068,33,entrepreneur,divorced,tertiary,no,37,no,yes,cellular,1,999,0,unknown,no
1069,46,blue-collar,divorced,primary,no,219,yes,no,cellular,1,999,0,unknown,no
1070,37,student,single,unknown,no,444,no,no,cellular,1,102,5,success,no
1071,26,technician,single,tertiary,no,15161,no,no,cellular,1,999,0,unknown,yes
1072,38,housemaid,single,primary,no,199,yes,no,cellular,1,306,1,failure,yes
1073,34,admin.,married,tertiary,no,0,no,no,cellular,2,999,0,unknown,yes
1074,61,self-employed,divorced,tertiary,no,6,yes,no,cellular,1,182,2,success,yes
1075,33,management,single,tertiary,no,6807,no,no,cellular,1,999,0,unknown,yes
1076,32,self-employed,married,primary,no,102,yes,no,cellular,1,999,0,unknown,yes
1077,49,technician,single,secondary,no,9131,yes,no,cellular,1,461,5,failure,yes
1078,28,blue-collar,married,secondary,no,751,yes,no,cellular,5,999,0,unknown,yes
1079,58,admin.,married,secondary,no,169,no,no,cellular,1,92,8,success,yes
1080,28,blue-collar,single,tertiary,no,4099,no,no,cellular,4,999,0,unknown,yes
1081,22,student,single,secondary,no,254,no,no,cellular,2,999,0,unknown,yes
1082,51,self-employed,single,secondary,no,0,no,no,cellular,2,999,0,unknown,yes
1083,42,blue-collar,married,secondary,no,366,yes,no,cellular,1,106,1,failure,yes
1084,35,unemployed,married,primary,no,3285,no,no,cellular,2,999,0,unknown,yes
1085,32,management,married,tertiary,no,1388,yes,no,cellular,1,999,0,unknown,yes
1086,29,management,single,tertiary,no,3041,yes,no,cellular,3,999,0,unknown,yes
1087,32,services,single,secondary,no,6983,no,no,cellular,1,999,0,unknown,yes
1088,44,blue-collar,married,primary,no,4031,yes,no,cellular,4,999,0,unknown,yes
1089,24,admin.,single,secondary,no,1295,no,no,cellular,2,92,1,success,yes
1090,51,entrepreneur,married,primary,no,538,no,no,cellular,4,999,0,unknown,yes
1091,36,management,married,tertiary,no,1113,no,no,cellular,1,999,0,unknown,yes
1092,26,entrepreneur,single,tertiary,no,725,no,no,cellular,2,189,29,nonexistent,yes
1093,31,services,single,secondary,no,181,no,no,cellular,1,104,1,success,yes
1094,51,services,divorced,secondary,no,65,no,yes,cellular,1,999,0,unknown,yes
1095,30,self-employed,single,tertiary,no,432,yes,no,cellular,1,999,0,unknown,yes
1096,33,services,married,secondary,no,1697,no,no,cellular,1,999,0,unknown,yes
1097,47,blue-collar,married,secondary,no,802,yes,yes,cellular,2,999,0,unknown,yes
1098,49,admin.,single,secondary,no,716,yes,no,unknown,3,999,0,unknown,yes
1099,65,retired,married,primary,no,1004,no,no,cellular,1,999,0,unknown,yes
1100,50,blue-collar,married,primary,no,5872,yes,no,cellular,3,999,0,unknown,yes
1101,64,retired,married,secondary,no,571,yes,no,cellular,2,999,0,unknown,yes
1102,73,retired,married,tertiary,no,448,no,no,cellular,1,999,0,unknown,yes
1103,38,unemployed,married,tertiary,no,2812,yes,no,cellular,1,999,0,unknown,yes
1104,27,blue-collar,married,primary,no,416,yes,no,unknown,2,999,0,unknown,yes
1105,26,admin.,single,tertiary,no,313,no,yes,cellular,2,999,0,unknown,yes
