年齢,職業,婚姻,学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,連絡回数_販促中,連絡後日数,連絡回数_販促前,前回販促結果,今回販促結果
34,blue-collar,married,primary,no,1031,yes,no,unknown,3,-1,0,unknown,yes
32,admin.,married,secondary,no,51,yes,yes,cellular,1,-1,0,unknown,yes
49,technician,divorced,unknown,no,387,no,no,cellular,1,-1,0,unknown,yes
27,services,single,secondary,no,814,yes,no,cellular,2,-1,0,unknown,no
29,blue-collar,single,secondary,no,-20,yes,no,unknown,2,-1,0,unknown,yes
27,student,single,secondary,no,2614,no,no,cellular,2,-1,0,unknown,yes
26,services,single,secondary,no,186,yes,no,unknown,3,-1,0,unknown,no
30,admin.,single,secondary,no,523,no,yes,cellular,1,-1,0,unknown,yes
74,retired,divorced,tertiary,no,3810,yes,no,cellular,1,-1,0,unknown,no
60,management,married,secondary,no,0,no,no,cellular,4,87,8,failure,no
36,blue-collar,married,secondary,no,536,yes,no,cellular,3,-1,0,unknown,yes
31,management,married,tertiary,no,1331,no,no,unknown,1,-1,0,unknown,yes
33,admin.,married,unknown,no,2780,no,no,cellular,1,-1,0,unknown,yes
28,blue-collar,married,secondary,no,6,yes,no,unknown,1,-1,0,unknown,no
27,housemaid,married,secondary,no,4848,yes,yes,telephone,3,-1,0,unknown,no
71,retired,married,primary,no,2600,no,no,cellular,2,98,1,success,yes
28,management,single,secondary,no,703,yes,no,cellular,1,88,1,other,yes
71,self-employed,married,secondary,no,5946,no,no,cellular,7,-1,0,unknown,no
22,student,single,secondary,no,364,yes,no,unknown,1,-1,0,unknown,no
35,technician,married,tertiary,no,7050,no,no,cellular,3,182,4,success,yes
46,management,married,secondary,no,0,no,no,cellular,1,-1,0,unknown,yes
39,management,married,tertiary,no,2763,yes,no,unknown,2,-1,0,unknown,yes
52,technician,married,secondary,no,195,yes,no,cellular,1,98,2,failure,no
22,student,single,unknown,no,47,no,no,cellular,3,-1,0,unknown,no
43,self-employed,married,secondary,no,5564,no,no,cellular,5,154,2,failure,no
28,blue-collar,single,secondary,no,-303,yes,no,unknown,2,-1,0,unknown,no
26,blue-collar,married,secondary,no,800,yes,no,unknown,1,-1,0,unknown,no
28,blue-collar,divorced,primary,no,319,yes,no,cellular,2,-1,0,unknown,no
52,technician,married,secondary,no,22755,yes,no,unknown,2,-1,0,unknown,no
38,technician,married,tertiary,no,202,no,no,cellular,2,-1,0,unknown,yes
64,entrepreneur,married,tertiary,no,2331,no,no,telephone,1,-1,0,unknown,yes
30,technician,married,secondary,no,-393,yes,yes,cellular,1,-1,0,unknown,yes
37,admin.,married,secondary,no,1314,yes,no,cellular,1,91,10,failure,no
50,unknown,married,unknown,no,558,no,no,cellular,1,683,6,failure,yes
27,student,single,secondary,no,538,no,no,cellular,2,-1,0,unknown,yes
27,technician,single,tertiary,no,1526,yes,no,unknown,10,-1,0,unknown,no
47,technician,married,secondary,no,2480,no,no,cellular,2,-1,0,unknown,yes
24,admin.,single,secondary,no,-98,yes,no,cellular,1,-1,0,unknown,no
34,technician,married,tertiary,no,0,no,no,cellular,1,133,1,failure,no
47,blue-collar,divorced,primary,no,603,yes,yes,cellular,1,-1,0,unknown,yes
76,retired,married,secondary,no,242,no,no,telephone,3,-1,0,unknown,no
29,technician,single,tertiary,no,172,yes,yes,cellular,2,187,16,failure,no
48,blue-collar,married,secondary,no,1730,yes,no,cellular,1,102,1,success,no
36,management,single,tertiary,no,688,no,no,cellular,1,120,1,failure,no
46,management,single,tertiary,no,0,no,no,cellular,2,-1,0,unknown,yes
59,admin.,married,secondary,no,106,no,no,cellular,1,-1,0,unknown,yes
56,admin.,divorced,secondary,no,0,no,no,cellular,1,154,2,failure,no
51,technician,married,secondary,no,2,yes,yes,cellular,1,205,3,failure,no
41,management,married,tertiary,no,832,yes,yes,cellular,1,176,1,failure,no
28,services,married,secondary,no,4,yes,no,unknown,1,-1,0,unknown,no
27,unemployed,single,secondary,no,0,yes,no,cellular,1,-1,0,unknown,no
31,management,married,tertiary,no,81,yes,no,cellular,2,-1,0,unknown,yes
56,blue-collar,married,primary,no,1137,no,no,telephone,3,102,1,success,no
28,self-employed,married,secondary,no,123,no,yes,telephone,1,-1,0,unknown,yes
26,technician,single,secondary,no,2087,no,no,unknown,1,-1,0,unknown,no
27,management,married,tertiary,no,342,yes,no,cellular,1,-1,0,unknown,no
31,management,single,tertiary,no,2907,yes,no,cellular,1,194,3,failure,yes
37,technician,single,secondary,no,363,yes,no,cellular,4,182,3,failure,no
48,management,married,tertiary,no,3842,no,no,cellular,1,122,2,success,no
25,management,married,tertiary,no,4461,no,no,cellular,5,-1,0,unknown,yes
50,self-employed,divorced,tertiary,no,13,yes,no,cellular,1,-1,0,unknown,yes
57,blue-collar,married,secondary,no,1316,no,no,cellular,2,182,5,failure,no
27,technician,single,secondary,no,18,no,no,cellular,3,-1,0,unknown,no
55,blue-collar,married,unknown,no,2691,yes,no,cellular,1,104,2,other,no
64,retired,married,tertiary,no,380,no,no,cellular,1,-1,0,unknown,yes
55,management,married,tertiary,no,12972,no,no,telephone,1,-1,0,unknown,yes
37,management,married,tertiary,no,238,no,no,cellular,1,-1,0,unknown,yes
36,management,single,tertiary,no,2944,no,no,cellular,8,-1,0,unknown,yes
60,retired,divorced,secondary,no,1099,no,no,cellular,2,-1,0,unknown,yes
33,management,married,tertiary,no,158,no,no,cellular,2,83,2,success,no
36,blue-collar,married,secondary,no,1049,yes,no,cellular,4,-1,0,unknown,yes
35,blue-collar,married,primary,no,102,yes,no,unknown,1,-1,0,unknown,yes
44,blue-collar,married,unknown,no,15578,yes,no,unknown,1,-1,0,unknown,no
69,retired,married,primary,no,2713,no,no,telephone,1,-1,0,unknown,no
52,entrepreneur,married,tertiary,yes,-468,no,no,cellular,1,-1,0,unknown,yes
31,management,married,tertiary,no,1812,no,no,cellular,1,104,1,success,no
42,management,married,tertiary,no,1272,yes,no,cellular,1,169,1,failure,no
39,blue-collar,married,secondary,no,462,yes,no,cellular,1,-1,0,unknown,yes
43,blue-collar,married,primary,no,2519,yes,no,cellular,2,146,9,other,no
73,retired,married,secondary,no,2850,no,no,cellular,1,40,8,failure,yes
33,management,single,tertiary,no,48,yes,no,cellular,1,173,5,failure,no
47,technician,married,primary,no,235,no,no,cellular,2,203,1,other,yes
23,student,single,secondary,no,107,no,no,cellular,1,183,1,success,yes
31,technician,single,secondary,no,1447,yes,no,cellular,3,178,15,failure,no
28,services,single,secondary,no,198,no,no,cellular,2,-1,0,unknown,yes
26,technician,married,secondary,no,915,no,no,cellular,1,-1,0,unknown,yes
38,housemaid,divorced,tertiary,no,4312,no,no,cellular,4,175,6,failure,no
54,admin.,single,secondary,no,1958,no,no,telephone,1,206,6,failure,no
26,blue-collar,married,secondary,no,2005,yes,no,unknown,3,-1,0,unknown,no
31,admin.,single,secondary,no,410,no,no,cellular,1,-1,0,unknown,yes
33,admin.,single,secondary,no,21854,yes,no,cellular,2,-1,0,unknown,no
34,technician,single,tertiary,no,612,no,no,cellular,1,95,1,failure,no
49,blue-collar,married,secondary,no,3728,yes,no,cellular,2,-1,0,unknown,yes
46,technician,single,tertiary,no,4414,no,no,cellular,7,-1,0,unknown,yes
42,unemployed,married,unknown,no,190,no,no,cellular,2,-1,0,unknown,yes
42,management,married,tertiary,no,298,no,no,cellular,4,115,6,failure,no
34,admin.,married,secondary,no,1474,no,no,cellular,2,-1,0,unknown,yes
32,management,single,tertiary,no,2551,yes,no,cellular,3,-1,0,unknown,yes
27,admin.,married,secondary,no,31,yes,yes,cellular,2,-1,0,unknown,no
58,retired,married,tertiary,no,0,no,no,cellular,4,-1,0,unknown,yes
28,entrepreneur,single,tertiary,no,135,yes,no,unknown,1,-1,0,unknown,no
33,management,single,tertiary,no,373,no,yes,cellular,3,93,1,failure,no
33,unemployed,single,tertiary,no,1974,no,no,cellular,2,191,1,failure,yes
39,self-employed,married,tertiary,no,5,yes,no,cellular,2,131,1,other,no
51,blue-collar,married,secondary,no,7180,yes,no,unknown,1,-1,0,unknown,yes
26,technician,single,tertiary,no,813,yes,no,unknown,3,-1,0,unknown,no
28,blue-collar,single,tertiary,no,1984,yes,no,cellular,1,98,3,failure,no
61,retired,married,tertiary,no,5267,no,no,cellular,3,-1,0,unknown,yes
57,services,single,secondary,no,0,no,no,cellular,1,-1,0,unknown,yes
36,admin.,single,tertiary,no,980,no,no,cellular,4,104,7,failure,no
26,blue-collar,single,primary,no,2363,no,yes,cellular,2,-1,0,unknown,no
28,technician,single,tertiary,no,-481,yes,yes,cellular,1,-1,0,unknown,no
38,management,single,tertiary,no,3646,yes,no,cellular,2,286,1,other,yes
27,technician,single,secondary,no,151,no,no,cellular,3,-1,0,unknown,no
23,admin.,single,secondary,no,178,yes,no,unknown,1,-1,0,unknown,no
71,retired,married,primary,no,2600,no,no,cellular,1,-1,0,unknown,yes
37,management,divorced,secondary,no,16,yes,no,unknown,1,-1,0,unknown,yes
27,admin.,married,secondary,no,639,no,yes,cellular,3,-1,0,unknown,no
31,unemployed,single,secondary,no,1214,no,no,cellular,1,-1,0,unknown,yes
53,blue-collar,married,secondary,no,21522,no,no,unknown,4,-1,0,unknown,no
28,blue-collar,single,secondary,no,438,yes,no,cellular,2,-1,0,unknown,no
44,management,single,tertiary,no,5063,no,no,cellular,2,-1,0,unknown,yes
26,management,single,tertiary,no,690,no,no,cellular,3,-1,0,unknown,no
30,blue-collar,married,secondary,no,5,no,no,cellular,3,-1,0,unknown,yes
63,admin.,divorced,secondary,no,4680,no,no,cellular,2,-1,0,unknown,yes
26,services,married,secondary,no,0,yes,no,unknown,2,-1,0,unknown,no
26,blue-collar,single,primary,no,941,no,no,cellular,1,-1,0,unknown,yes
51,retired,married,tertiary,no,580,no,no,cellular,2,-1,0,unknown,yes
72,retired,married,primary,no,2079,no,no,cellular,1,191,3,other,no
60,admin.,married,secondary,no,106,no,no,cellular,3,91,1,success,yes
31,services,single,secondary,no,900,yes,no,cellular,2,140,6,failure,no
46,blue-collar,married,primary,no,874,no,no,cellular,1,-1,0,unknown,yes
77,retired,married,secondary,no,638,no,no,cellular,1,188,1,success,yes
26,services,single,secondary,no,901,yes,no,unknown,2,-1,0,unknown,yes
28,blue-collar,single,secondary,no,1705,no,no,cellular,2,-1,0,unknown,yes
52,unemployed,married,secondary,no,1416,no,no,cellular,3,187,3,success,yes
32,management,divorced,tertiary,no,222,no,yes,cellular,4,-1,0,unknown,yes
38,entrepreneur,married,tertiary,no,227,yes,no,cellular,1,209,1,failure,no
37,services,married,secondary,yes,-954,yes,no,cellular,1,180,3,failure,no
68,retired,single,unknown,no,518,no,no,cellular,1,-1,0,unknown,no
31,technician,married,secondary,yes,-367,yes,no,cellular,2,-1,0,unknown,yes
36,management,single,secondary,no,1511,yes,no,cellular,1,-1,0,unknown,yes
51,management,married,tertiary,no,469,no,no,cellular,1,182,3,success,yes
59,unemployed,married,secondary,no,957,no,no,cellular,2,-1,0,unknown,yes
25,services,single,secondary,yes,57,yes,yes,unknown,5,-1,0,unknown,no
50,services,married,secondary,no,1595,no,no,unknown,1,-1,0,unknown,yes
27,admin.,single,secondary,yes,1110,yes,yes,cellular,36,-1,0,unknown,no
34,technician,married,secondary,no,5553,yes,no,cellular,2,182,5,failure,no
41,unemployed,single,tertiary,no,79,no,no,telephone,1,390,2,success,yes
24,blue-collar,single,secondary,no,833,yes,no,cellular,1,-1,0,unknown,yes
33,management,married,secondary,no,3935,yes,no,cellular,1,342,2,failure,yes
37,student,single,unknown,no,444,no,no,cellular,1,102,5,success,yes
27,services,single,secondary,no,246,no,no,cellular,2,-1,0,unknown,yes
47,admin.,divorced,secondary,no,295,yes,no,unknown,2,-1,0,unknown,yes
36,admin.,single,secondary,no,1927,yes,no,cellular,1,137,1,other,no
78,retired,married,primary,no,14204,no,no,cellular,1,183,1,other,no
31,technician,single,tertiary,no,454,no,no,cellular,1,-1,0,unknown,yes
70,retired,married,secondary,no,6422,no,no,cellular,1,-1,0,unknown,yes
26,technician,single,tertiary,no,1996,no,no,cellular,2,-1,0,unknown,no
75,retired,married,primary,no,3504,no,no,telephone,1,-1,0,unknown,no
27,blue-collar,married,secondary,no,14,no,no,cellular,1,-1,0,unknown,no
55,technician,married,secondary,no,0,yes,yes,cellular,1,91,1,success,no
32,admin.,divorced,tertiary,no,-2,yes,no,cellular,3,168,1,failure,no
24,admin.,single,secondary,no,120,yes,no,cellular,1,-1,0,unknown,no
60,technician,married,secondary,no,358,no,no,cellular,1,216,2,failure,no
53,blue-collar,married,secondary,no,-76,no,no,cellular,1,164,4,other,no
31,management,single,tertiary,no,86,no,no,cellular,1,170,4,failure,no
28,blue-collar,married,secondary,no,2257,yes,no,cellular,1,-1,0,unknown,no
35,entrepreneur,married,secondary,no,2971,no,no,cellular,2,95,6,success,no
66,management,married,unknown,no,2149,yes,no,cellular,2,90,11,success,yes
38,services,married,tertiary,no,0,yes,no,cellular,1,147,4,failure,no
63,blue-collar,married,primary,no,115,no,no,telephone,1,180,7,failure,yes
30,services,divorced,secondary,no,341,yes,no,cellular,1,174,1,success,no
54,management,divorced,tertiary,no,427,yes,yes,cellular,2,231,2,other,no
46,management,married,tertiary,no,0,no,no,cellular,13,-1,0,unknown,yes
31,blue-collar,married,secondary,no,671,yes,no,unknown,4,-1,0,unknown,yes
30,self-employed,married,tertiary,no,2666,no,no,cellular,2,93,4,success,yes
28,technician,single,secondary,yes,-298,yes,no,unknown,7,-1,0,unknown,no
53,blue-collar,married,secondary,no,3815,no,no,telephone,2,149,3,failure,no
28,blue-collar,married,secondary,no,53,yes,yes,cellular,1,-1,0,unknown,no
25,technician,single,tertiary,no,0,yes,no,cellular,7,-1,0,unknown,no
33,student,single,unknown,no,5969,no,no,cellular,1,83,7,failure,no
67,retired,divorced,primary,no,2027,no,no,cellular,2,-1,0,unknown,yes
36,management,married,tertiary,no,925,no,no,cellular,3,189,4,success,yes
28,services,single,secondary,no,45,yes,no,unknown,1,-1,0,unknown,no
38,technician,married,secondary,no,205,no,no,cellular,1,-1,0,unknown,yes
31,admin.,married,secondary,no,685,yes,no,cellular,1,329,3,failure,yes
46,blue-collar,married,secondary,no,922,yes,no,telephone,1,-1,0,unknown,yes
45,blue-collar,married,primary,no,15515,no,no,cellular,2,-1,0,unknown,no
55,admin.,married,unknown,no,2038,no,no,cellular,1,-1,0,unknown,yes
50,admin.,married,secondary,no,706,yes,no,cellular,4,-1,0,unknown,yes
34,admin.,single,tertiary,no,4254,yes,no,cellular,3,178,1,success,no
53,management,married,tertiary,no,583,no,no,cellular,1,184,4,success,yes
71,retired,married,tertiary,no,1486,no,no,telephone,3,-1,0,unknown,no
42,blue-collar,married,primary,no,686,yes,no,cellular,6,175,3,failure,no
43,admin.,married,secondary,no,132,no,no,cellular,2,71,1,success,yes
27,blue-collar,married,secondary,no,373,yes,no,unknown,1,-1,0,unknown,no
66,housemaid,divorced,primary,no,3701,no,no,telephone,1,-1,0,unknown,yes
37,unemployed,single,secondary,no,443,no,no,cellular,1,-1,0,unknown,yes
52,technician,married,secondary,no,117,no,no,cellular,3,186,6,success,yes
30,services,single,secondary,no,1923,no,yes,cellular,2,192,2,other,no
58,admin.,divorced,secondary,no,3337,yes,no,telephone,2,690,3,failure,yes
59,services,divorced,secondary,no,1,yes,no,cellular,1,253,5,other,yes
25,services,single,secondary,no,79,no,yes,cellular,28,-1,0,unknown,no
30,management,married,tertiary,no,7,yes,no,cellular,1,164,4,other,yes
26,technician,single,secondary,no,455,no,no,cellular,1,182,8,other,no
39,blue-collar,single,tertiary,no,172,yes,no,cellular,2,183,2,failure,yes
58,admin.,married,secondary,no,826,no,no,unknown,1,-1,0,unknown,yes
31,services,single,secondary,no,181,no,no,cellular,1,-1,0,unknown,yes
37,technician,married,secondary,no,0,yes,no,cellular,1,179,6,failure,no
52,management,married,tertiary,no,583,no,no,cellular,1,84,1,failure,no
26,student,single,tertiary,no,5169,yes,no,cellular,2,-1,0,unknown,no
25,management,single,tertiary,no,362,no,no,cellular,2,-1,0,unknown,yes
81,retired,divorced,unknown,no,9224,no,no,telephone,2,-1,0,unknown,no
43,services,divorced,secondary,no,1040,yes,no,unknown,3,-1,0,unknown,yes
59,unemployed,married,secondary,no,1047,no,no,cellular,1,184,3,success,yes
55,admin.,married,secondary,no,8304,no,no,cellular,1,92,1,success,yes
38,student,divorced,tertiary,no,2946,no,no,cellular,3,-1,0,unknown,yes
47,technician,married,secondary,no,293,no,no,cellular,1,-1,0,unknown,yes
47,admin.,divorced,secondary,no,2232,no,no,cellular,1,103,1,success,yes
31,management,single,tertiary,no,1858,no,no,cellular,3,-1,0,unknown,yes
47,management,married,tertiary,no,2351,no,no,cellular,2,84,1,success,yes
52,services,married,primary,no,1625,no,no,cellular,2,-1,0,unknown,yes
22,admin.,single,secondary,no,372,no,no,cellular,1,-1,0,unknown,yes
70,retired,married,secondary,no,0,no,no,cellular,1,92,5,success,yes
21,student,single,secondary,no,99,yes,no,unknown,1,-1,0,unknown,no
27,management,single,tertiary,no,1720,no,no,cellular,2,273,1,failure,yes
56,entrepreneur,married,tertiary,no,16125,no,no,telephone,2,167,1,failure,no
70,entrepreneur,married,tertiary,no,15265,no,no,cellular,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,443,yes,no,unknown,5,-1,0,unknown,yes
25,blue-collar,single,secondary,no,381,yes,no,cellular,1,-1,0,unknown,no
54,entrepreneur,divorced,unknown,no,4736,yes,no,telephone,6,307,5,failure,yes
32,self-employed,single,tertiary,no,519,yes,no,cellular,2,149,1,failure,no
43,entrepreneur,single,primary,no,103,yes,no,cellular,1,183,5,failure,no
37,management,married,tertiary,no,393,yes,no,cellular,3,275,4,failure,yes
35,management,married,tertiary,no,2801,yes,no,cellular,2,111,2,failure,no
51,blue-collar,married,primary,no,1194,yes,no,cellular,1,186,3,failure,no
30,blue-collar,married,primary,no,1101,yes,yes,cellular,1,225,3,failure,no
27,blue-collar,married,secondary,no,72,yes,no,unknown,1,-1,0,unknown,no
36,self-employed,married,secondary,no,1184,yes,no,cellular,1,-1,0,unknown,yes
33,services,divorced,secondary,no,2411,yes,no,cellular,1,161,1,failure,yes
20,student,single,tertiary,no,556,yes,no,unknown,10,-1,0,unknown,no
42,management,married,tertiary,no,36,no,no,cellular,3,-1,0,unknown,yes
32,admin.,divorced,secondary,no,-241,no,yes,unknown,2,-1,0,unknown,yes
28,technician,single,tertiary,no,1628,yes,no,cellular,2,-1,0,unknown,yes
64,housemaid,married,primary,no,67,no,no,telephone,2,111,1,failure,no
19,student,single,primary,no,608,no,no,cellular,1,180,2,success,yes
21,student,single,unknown,no,53,no,no,cellular,1,-1,0,unknown,yes
38,technician,single,secondary,no,-242,yes,no,cellular,3,278,6,success,yes
60,retired,divorced,secondary,no,514,no,no,cellular,1,124,9,other,yes
25,blue-collar,single,secondary,no,1243,no,yes,cellular,7,-1,0,unknown,yes
45,admin.,married,secondary,no,1097,yes,yes,cellular,1,208,1,failure,no
27,services,single,secondary,no,3791,yes,no,unknown,1,-1,0,unknown,no
28,management,single,tertiary,no,1808,no,no,cellular,1,-1,0,unknown,yes
40,management,single,secondary,no,1623,yes,no,cellular,1,167,2,failure,no
47,blue-collar,married,primary,no,2749,yes,no,cellular,2,164,1,failure,yes
41,admin.,single,secondary,no,812,no,yes,unknown,4,-1,0,unknown,yes
30,admin.,single,tertiary,no,305,no,no,cellular,1,85,2,success,yes
53,retired,married,secondary,no,665,yes,no,cellular,2,-1,0,unknown,yes
35,management,married,tertiary,no,1380,no,no,cellular,1,-1,0,unknown,yes
24,admin.,single,secondary,no,1295,no,no,cellular,2,92,1,success,yes
75,self-employed,married,unknown,no,4984,no,no,telephone,1,-1,0,unknown,yes
49,technician,divorced,tertiary,no,1807,yes,no,cellular,1,-1,0,unknown,yes
39,services,married,secondary,no,52,no,no,telephone,3,-1,0,unknown,yes
60,retired,married,primary,no,1542,yes,no,unknown,1,-1,0,unknown,yes
27,blue-collar,single,secondary,no,4,yes,no,cellular,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,0,no,no,unknown,2,-1,0,unknown,yes
24,admin.,married,secondary,no,541,yes,no,unknown,4,-1,0,unknown,no
32,technician,single,secondary,no,540,no,yes,cellular,1,-1,0,unknown,yes
48,services,divorced,secondary,no,-361,yes,no,cellular,3,349,3,other,yes
35,entrepreneur,single,tertiary,no,1416,yes,no,cellular,1,169,12,other,no
54,housemaid,single,secondary,no,1213,no,no,cellular,1,-1,0,unknown,yes
37,management,married,tertiary,no,1276,no,no,cellular,2,-1,0,unknown,yes
25,blue-collar,single,secondary,no,2007,no,no,cellular,2,-1,0,unknown,yes
59,housemaid,married,secondary,no,0,no,no,telephone,1,99,4,failure,no
28,management,single,tertiary,no,3796,no,no,cellular,2,-1,0,unknown,yes
36,unemployed,married,tertiary,no,7222,yes,no,cellular,1,181,5,failure,no
65,unknown,married,unknown,no,4717,no,no,telephone,1,-1,0,unknown,yes
26,services,single,secondary,yes,-599,yes,yes,unknown,3,-1,0,unknown,no
72,retired,married,primary,no,1612,no,no,cellular,2,-1,0,unknown,yes
30,blue-collar,single,unknown,no,6281,no,no,cellular,2,-1,0,unknown,yes
36,management,married,tertiary,no,222,yes,no,cellular,1,169,2,failure,no
57,technician,married,secondary,no,589,yes,no,cellular,1,244,1,other,no
39,services,married,secondary,no,105,no,no,cellular,1,189,2,failure,no
50,management,married,tertiary,no,1396,no,no,cellular,6,-1,0,unknown,yes
41,technician,married,secondary,no,4004,no,no,cellular,2,-1,0,unknown,yes
34,technician,married,secondary,no,0,yes,no,cellular,1,470,2,failure,yes
47,technician,married,secondary,no,0,yes,no,cellular,1,164,1,failure,no
41,admin.,married,secondary,no,67,no,no,cellular,2,150,2,failure,no
36,admin.,married,tertiary,no,29,no,no,cellular,1,-1,0,unknown,yes
30,technician,single,tertiary,no,411,no,no,cellular,3,149,2,failure,yes
52,management,married,tertiary,no,40,no,no,cellular,3,-1,0,unknown,yes
66,retired,married,secondary,no,203,no,no,cellular,1,-1,0,unknown,yes
38,technician,married,secondary,no,1,yes,no,cellular,5,199,1,success,no
28,self-employed,single,secondary,no,3761,no,yes,cellular,3,-1,0,unknown,no
26,blue-collar,married,secondary,no,128,no,no,unknown,1,-1,0,unknown,no
32,technician,single,tertiary,no,388,no,no,cellular,3,-1,0,unknown,yes
36,admin.,single,secondary,no,0,yes,yes,telephone,1,168,3,failure,no
45,management,married,tertiary,no,1788,no,no,cellular,1,191,4,failure,no
48,management,single,tertiary,no,159,no,no,telephone,1,251,6,success,yes
37,services,married,secondary,no,2678,no,no,cellular,1,-1,0,unknown,yes
36,blue-collar,married,primary,no,828,no,no,cellular,1,345,8,failure,yes
28,services,single,secondary,no,2385,yes,no,unknown,2,-1,0,unknown,no
76,retired,married,primary,no,3324,no,no,cellular,1,92,3,success,yes
42,admin.,married,secondary,no,437,yes,no,cellular,3,190,1,failure,no
39,technician,married,tertiary,no,508,no,no,cellular,1,122,3,failure,no
46,management,divorced,tertiary,no,558,no,no,cellular,1,-1,0,unknown,yes
28,services,single,secondary,no,340,yes,no,cellular,2,-1,0,unknown,yes
25,technician,married,tertiary,no,839,yes,no,cellular,3,-1,0,unknown,yes
37,technician,married,tertiary,no,4596,yes,no,cellular,2,211,4,success,no
31,management,divorced,tertiary,no,106,yes,no,cellular,2,202,1,failure,no
31,student,married,primary,no,46,yes,no,cellular,1,-1,0,unknown,yes
30,blue-collar,married,secondary,no,501,yes,yes,cellular,1,177,1,failure,yes
26,entrepreneur,married,secondary,no,1,yes,no,cellular,2,-1,0,unknown,no
41,admin.,single,secondary,no,748,no,no,telephone,7,130,3,other,no
35,technician,married,secondary,no,-180,no,yes,cellular,2,-1,0,unknown,yes
31,services,married,secondary,no,132,no,no,cellular,1,152,1,other,no
25,technician,single,tertiary,no,468,yes,no,unknown,1,-1,0,unknown,no
28,management,single,tertiary,no,672,no,no,cellular,1,-1,0,unknown,no
38,technician,married,secondary,no,1016,yes,yes,cellular,2,167,4,failure,no
63,retired,married,secondary,no,1612,no,no,telephone,2,-1,0,unknown,yes
31,blue-collar,married,primary,no,33,yes,no,cellular,2,-1,0,unknown,yes
30,blue-collar,single,secondary,yes,239,yes,no,unknown,1,-1,0,unknown,yes
28,technician,single,secondary,no,5763,no,yes,cellular,2,-1,0,unknown,yes
50,admin.,divorced,secondary,no,381,no,no,cellular,1,212,2,other,no
26,services,single,tertiary,no,12,no,no,cellular,4,186,6,success,no
31,unemployed,married,secondary,no,6,no,no,cellular,4,-1,0,unknown,yes
43,self-employed,married,tertiary,no,10072,no,no,cellular,1,77,5,failure,no
42,management,married,tertiary,no,976,no,no,cellular,1,-1,0,unknown,yes
20,student,single,secondary,no,130,no,no,telephone,1,99,3,failure,no
59,self-employed,married,tertiary,no,6237,yes,no,cellular,1,169,2,failure,no
37,management,single,tertiary,no,62,yes,no,cellular,2,272,8,success,yes
28,management,single,tertiary,no,502,no,no,cellular,2,-1,0,unknown,yes
38,services,married,secondary,no,4392,no,no,cellular,2,110,2,failure,no
26,admin.,single,tertiary,no,2170,yes,no,cellular,1,29,1,failure,no
25,student,single,unknown,no,839,no,no,cellular,1,181,2,other,no
41,blue-collar,married,secondary,no,-190,no,yes,cellular,3,-1,0,unknown,yes
28,student,single,secondary,no,1377,yes,no,cellular,2,-1,0,unknown,yes
33,blue-collar,married,secondary,no,1,yes,no,cellular,4,178,3,failure,no
25,blue-collar,single,secondary,no,491,yes,no,unknown,1,-1,0,unknown,no
28,management,single,tertiary,no,957,no,no,cellular,2,-1,0,unknown,yes
35,technician,divorced,secondary,no,5724,yes,no,unknown,10,-1,0,unknown,yes
31,admin.,single,secondary,no,81,yes,no,cellular,2,165,11,other,no
28,blue-collar,single,secondary,no,371,yes,no,cellular,2,-1,0,unknown,no
27,student,single,tertiary,no,24,yes,no,cellular,2,-1,0,unknown,no
37,management,married,tertiary,no,0,no,no,cellular,4,107,2,failure,no
73,retired,divorced,primary,no,5028,no,no,cellular,10,-1,0,unknown,yes
60,management,married,unknown,no,264,no,no,telephone,1,-1,0,unknown,yes
57,admin.,married,secondary,no,169,no,no,cellular,1,-1,0,unknown,yes
44,management,married,tertiary,no,423,no,no,cellular,5,-1,0,unknown,yes
45,management,divorced,secondary,no,644,yes,no,unknown,1,-1,0,unknown,yes
54,management,married,tertiary,no,16843,no,no,unknown,1,-1,0,unknown,no
75,retired,married,tertiary,no,4912,no,no,telephone,2,183,5,failure,no
36,management,divorced,tertiary,no,0,no,no,cellular,1,-1,0,unknown,yes
36,technician,married,tertiary,no,99,yes,yes,cellular,1,85,1,failure,no
48,management,married,tertiary,no,3842,no,no,cellular,2,-1,0,unknown,yes
42,admin.,divorced,secondary,no,527,no,yes,cellular,1,-1,0,unknown,yes
58,management,married,secondary,no,139,no,no,cellular,1,161,2,other,no
28,housemaid,married,secondary,no,15,yes,no,telephone,7,-1,0,unknown,no
34,technician,single,secondary,no,194,yes,yes,cellular,1,-1,0,unknown,yes
55,entrepreneur,divorced,secondary,no,538,yes,no,cellular,2,-1,0,unknown,yes
26,student,single,secondary,no,611,no,no,cellular,3,-1,0,unknown,no
46,technician,married,tertiary,no,0,no,no,cellular,1,167,1,failure,yes
38,blue-collar,single,secondary,no,5133,yes,no,cellular,2,168,2,other,no
59,technician,married,secondary,no,1866,no,no,telephone,2,215,1,other,no
30,services,single,secondary,no,438,yes,no,cellular,1,178,1,failure,no
36,technician,single,secondary,no,376,no,no,cellular,1,92,1,success,yes
64,retired,married,tertiary,no,1644,no,no,telephone,4,-1,0,unknown,yes
37,technician,married,tertiary,no,127,yes,no,cellular,1,-1,0,unknown,yes
27,technician,married,secondary,no,267,yes,no,cellular,4,-1,0,unknown,no
