年齢,職業,婚姻状況,学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,日,月,通話時間,キャンペーン,直前接触日,過去接触回数,前回接触結果,申込有無
58,self-employed,married,primary,False,1013,True,False,cellular,11,aug,206,1,461,1,failure,True
44,admin.,married,secondary,False,262,True,False,cellular,9,jul,74,1,-1,0,,False
25,services,single,secondary,False,3217,True,False,,28,may,24,1,-1,0,,False
37,technician,single,secondary,False,5436,True,False,cellular,6,may,7,11,351,1,failure,False
41,blue-collar,married,primary,False,2067,True,False,cellular,15,may,493,7,-1,0,,False
34,blue-collar,single,secondary,False,215,False,False,cellular,3,mar,350,3,-1,0,,True
36,services,divorced,secondary,False,1594,False,False,,6,jun,250,3,-1,0,,False
44,self-employed,married,tertiary,False,134,False,False,cellular,28,aug,86,4,-1,0,,False
34,entrepreneur,divorced,tertiary,False,262,False,False,cellular,20,nov,371,1,-1,0,,False
56,blue-collar,divorced,primary,False,3021,False,False,,9,jun,419,2,-1,0,,False
43,management,divorced,tertiary,False,388,True,False,,8,may,2087,2,-1,0,,True
28,blue-collar,single,secondary,False,3412,True,False,cellular,15,may,22,4,-1,0,,False
54,blue-collar,married,secondary,False,1291,True,False,,5,may,266,1,-1,0,,False
37,technician,divorced,secondary,False,79,False,False,cellular,21,jul,191,1,-1,0,,False
59,self-employed,married,tertiary,False,2013,False,False,cellular,19,feb,222,4,94,2,success,True
58,blue-collar,divorced,secondary,False,543,False,True,telephone,17,jul,264,3,-1,0,,False
56,management,divorced,tertiary,False,1016,True,False,,9,jun,184,5,-1,0,,False
32,blue-collar,single,secondary,False,604,False,True,cellular,28,may,95,3,-1,0,,False
42,management,single,tertiary,False,525,False,False,cellular,13,aug,127,2,-1,0,,False
52,retired,divorced,primary,False,353,False,False,cellular,31,jul,395,4,-1,0,,False
46,management,married,tertiary,False,964,True,False,cellular,8,apr,174,1,-1,0,,False
37,admin.,married,tertiary,False,3913,True,False,cellular,27,apr,124,1,-1,0,,True
39,blue-collar,married,primary,False,879,True,False,,26,may,102,2,-1,0,,False
31,admin.,married,secondary,False,314,True,False,cellular,17,apr,279,1,-1,0,,False
59,housemaid,married,primary,False,0,False,False,cellular,27,aug,76,11,-1,0,,False
38,blue-collar,married,secondary,False,1370,True,False,cellular,11,may,472,2,-1,0,,False
58,management,married,secondary,False,37,False,False,cellular,18,aug,84,11,-1,0,,False
34,management,single,tertiary,False,673,True,True,cellular,20,nov,271,1,184,1,failure,False
40,services,married,secondary,False,-342,True,False,,26,may,754,1,-1,0,,False
20,student,single,secondary,False,291,False,False,telephone,11,may,172,5,371,5,failure,False
34,technician,married,secondary,False,209,True,True,cellular,8,apr,375,2,-1,0,,False
31,technician,single,tertiary,False,438,True,False,cellular,12,aug,130,2,-1,0,,False
39,admin.,single,secondary,False,1242,True,False,,12,may,303,3,-1,0,,False
34,entrepreneur,married,tertiary,False,355,True,False,,16,may,261,1,-1,0,,False
24,blue-collar,married,secondary,False,204,True,True,cellular,17,apr,229,3,-1,0,,False
41,management,married,tertiary,False,10758,True,False,cellular,1,jun,288,1,-1,0,,False
40,management,married,tertiary,False,5,True,False,cellular,18,nov,219,3,-1,0,,False
45,technician,single,secondary,False,410,True,False,,30,may,891,4,-1,0,,True
36,management,married,tertiary,False,605,True,False,,26,may,204,1,-1,0,,False
53,management,married,tertiary,False,4,False,False,,20,jun,19,6,-1,0,,False
23,student,single,secondary,False,8494,False,False,cellular,25,aug,158,2,-1,0,,False
42,entrepreneur,married,primary,False,198,True,False,,8,may,314,1,-1,0,,False
48,blue-collar,married,secondary,False,841,True,False,,19,may,215,1,-1,0,,False
34,management,married,tertiary,False,8,False,False,cellular,25,aug,169,4,-1,0,,False
36,admin.,married,secondary,False,470,True,False,cellular,31,jul,101,4,-1,0,,False
43,retired,married,secondary,False,520,True,False,,20,may,15,13,-1,0,,False
36,blue-collar,married,secondary,False,439,True,False,,21,may,260,5,-1,0,,False
49,blue-collar,married,secondary,False,-454,True,False,cellular,14,may,558,1,-1,0,,True
55,retired,married,secondary,False,466,False,False,,17,jun,287,4,-1,0,,False
53,retired,married,secondary,False,665,True,False,cellular,22,apr,371,2,-1,0,,True
42,technician,married,secondary,False,994,True,False,cellular,11,aug,149,1,78,5,failure,True
45,admin.,married,secondary,False,5346,True,True,,21,oct,187,1,-1,0,,True
31,blue-collar,married,secondary,False,1243,True,False,,21,may,32,1,-1,0,,False
32,admin.,married,tertiary,False,0,True,False,,5,may,138,1,-1,0,,False
36,blue-collar,married,secondary,False,2357,True,False,,17,jun,228,2,-1,0,,False
56,retired,married,secondary,False,1044,False,False,telephone,3,jul,353,2,-1,0,,True
46,admin.,married,secondary,False,1069,True,False,,8,may,45,2,-1,0,,False
41,housemaid,single,secondary,False,231,False,False,cellular,9,jul,76,2,-1,0,,False
31,admin.,married,secondary,False,0,True,True,,6,may,144,2,-1,0,,False
32,technician,married,secondary,False,266,True,False,cellular,19,aug,168,2,-1,0,,False
38,management,married,tertiary,False,-70,True,False,cellular,30,jan,140,1,2,3,other,False
49,retired,single,primary,False,25824,False,False,,17,jun,94,1,-1,0,,False
46,management,single,primary,False,538,False,False,,17,jun,118,3,-1,0,,False
29,technician,single,secondary,False,534,True,False,cellular,18,may,382,1,-1,0,,False
36,admin.,married,,False,2323,False,False,cellular,19,nov,111,1,-1,0,,False
38,admin.,married,secondary,False,1852,True,False,cellular,15,may,298,2,-1,0,,False
53,technician,married,secondary,False,2647,True,False,,30,may,121,1,-1,0,,False
43,management,married,tertiary,False,2767,True,False,,15,may,317,7,-1,0,,False
41,management,married,tertiary,False,176,True,True,,5,may,42,1,-1,0,,False
42,management,single,secondary,False,9720,False,False,cellular,5,aug,81,2,-1,0,,False
55,blue-collar,divorced,secondary,False,1613,True,False,cellular,3,apr,296,1,270,3,failure,True
39,admin.,divorced,secondary,False,2903,True,True,telephone,25,jul,259,2,-1,0,,False
30,admin.,single,secondary,False,81,True,False,cellular,6,aug,121,6,112,3,other,False
41,blue-collar,married,secondary,False,780,True,False,cellular,15,may,432,3,-1,0,,False
44,unemployed,married,tertiary,False,178,False,False,cellular,8,aug,126,2,-1,0,,False
58,management,married,tertiary,False,299,False,False,cellular,16,jul,120,4,-1,0,,False
35,retired,married,primary,False,285,True,False,cellular,29,jan,136,1,-1,0,,False
27,blue-collar,married,secondary,False,872,True,False,cellular,17,apr,1130,3,-1,0,,False
34,services,married,secondary,False,1337,False,False,cellular,17,dec,330,2,127,3,success,True
25,services,married,secondary,False,72,True,False,cellular,23,jul,305,2,-1,0,,False
36,blue-collar,married,secondary,False,0,False,False,,20,jun,332,3,-1,0,,False
38,blue-collar,married,secondary,False,-388,True,False,,9,may,412,1,-1,0,,False
30,admin.,married,secondary,False,11,True,False,cellular,11,may,157,1,-1,0,,False
47,blue-collar,divorced,secondary,True,-535,True,False,cellular,30,jul,71,2,-1,0,,False
41,services,divorced,secondary,False,787,True,False,cellular,8,may,297,2,-1,0,,False
36,management,single,tertiary,False,3343,False,False,cellular,18,nov,307,1,-1,0,,False
63,entrepreneur,married,secondary,False,3904,False,False,telephone,4,aug,250,2,187,2,success,True
23,management,single,tertiary,False,736,True,False,cellular,30,apr,119,1,-1,0,,False
32,management,married,tertiary,False,1390,False,False,cellular,7,aug,116,2,-1,0,,False
57,retired,married,primary,False,808,False,False,telephone,7,jul,274,1,-1,0,,False
48,management,married,tertiary,False,1147,False,False,cellular,5,aug,389,1,64,2,success,True
49,services,married,secondary,False,1122,False,False,cellular,4,aug,143,1,-1,0,,False
50,technician,married,secondary,False,-568,True,True,,28,may,860,2,-1,0,,False
33,blue-collar,married,primary,False,1165,True,False,,21,may,420,2,-1,0,,False
53,services,divorced,secondary,False,-905,True,False,,28,may,213,1,-1,0,,False
30,unemployed,married,tertiary,False,0,True,False,cellular,18,nov,756,1,-1,0,,False
38,technician,married,secondary,False,740,False,False,cellular,7,aug,259,3,-1,0,,False
44,management,married,secondary,False,8262,True,False,cellular,23,jul,201,16,-1,0,,False
39,admin.,single,secondary,False,14,True,True,,13,may,19,9,-1,0,,False
45,technician,single,,False,7108,True,True,cellular,18,nov,53,1,172,3,failure,False
36,blue-collar,married,secondary,False,1049,True,False,cellular,14,may,224,4,-1,0,,True
38,blue-collar,married,secondary,False,0,True,False,cellular,13,may,57,5,349,1,other,False
36,housemaid,married,secondary,False,419,True,False,,30,may,251,1,-1,0,,False
30,management,single,tertiary,False,726,True,False,cellular,16,apr,39,1,342,3,failure,False
28,technician,divorced,tertiary,False,594,True,True,,18,jun,54,3,-1,0,,False
26,unemployed,married,tertiary,False,454,True,True,,23,may,28,18,-1,0,,False
54,,married,secondary,False,2206,False,False,cellular,12,nov,104,1,99,2,other,True
38,admin.,married,tertiary,False,1988,False,False,cellular,27,mar,164,2,130,2,failure,True
32,technician,single,tertiary,False,0,False,False,cellular,7,aug,268,2,-1,0,,False
50,admin.,divorced,secondary,False,202,False,True,cellular,17,nov,148,1,-1,0,,False
43,blue-collar,married,secondary,False,667,True,False,,7,may,228,3,-1,0,,False
48,admin.,married,secondary,False,112,False,False,cellular,18,aug,139,5,-1,0,,False
57,housemaid,married,primary,False,50,False,False,cellular,18,aug,89,3,-1,0,,False
64,housemaid,married,primary,False,768,False,False,cellular,15,jul,250,2,182,1,success,False
26,services,divorced,secondary,False,74,True,False,,23,may,106,6,-1,0,,False
33,blue-collar,married,secondary,False,661,True,False,cellular,18,jul,968,1,-1,0,,True
50,self-employed,married,secondary,False,3025,False,True,cellular,6,aug,168,3,-1,0,,False
47,self-employed,married,tertiary,False,751,False,False,cellular,24,jul,408,14,-1,0,,False
39,management,single,tertiary,False,416,False,False,cellular,23,oct,56,4,-1,0,,False
52,services,married,primary,False,14,False,True,cellular,28,jul,55,5,-1,0,,False
31,blue-collar,single,primary,False,-502,True,False,,29,may,76,4,-1,0,,False
50,blue-collar,married,primary,False,0,False,False,cellular,11,aug,72,5,-1,0,,False
47,technician,married,secondary,False,599,True,False,cellular,13,aug,99,3,-1,0,,False
30,management,single,tertiary,False,-218,True,False,cellular,27,aug,13,15,-1,0,,False
32,technician,single,tertiary,False,1012,False,False,cellular,14,apr,178,1,-1,0,,False
36,technician,married,secondary,False,300,False,False,,9,jun,287,1,-1,0,,False
46,technician,married,tertiary,False,217,True,False,cellular,14,may,141,1,346,2,other,False
45,management,divorced,tertiary,False,2096,False,False,cellular,21,nov,127,1,100,2,failure,False
37,technician,single,secondary,False,0,False,False,cellular,4,aug,69,2,-1,0,,False
58,housemaid,married,primary,False,5278,True,False,,4,jun,763,4,-1,0,,False
59,management,married,tertiary,False,1831,False,False,cellular,17,feb,122,1,92,1,failure,False
28,management,married,tertiary,False,1480,True,False,cellular,18,may,143,1,-1,0,,False
48,management,married,tertiary,False,7289,True,False,cellular,2,feb,316,3,-1,0,,False
55,blue-collar,married,,False,1665,False,False,telephone,30,jul,89,2,-1,0,,False
37,blue-collar,single,primary,False,851,True,False,cellular,15,may,151,1,352,1,failure,False
41,management,married,tertiary,False,2885,False,False,cellular,19,nov,40,1,-1,0,,False
35,blue-collar,married,secondary,False,137,False,True,,4,oct,5,1,808,12,failure,False
34,blue-collar,single,secondary,False,1239,True,False,cellular,18,jul,90,1,-1,0,,False
43,management,single,tertiary,False,146,False,False,cellular,21,nov,50,1,113,5,other,False
59,technician,married,secondary,False,1,False,False,cellular,15,apr,159,2,378,3,failure,True
50,blue-collar,divorced,primary,False,-10,False,True,cellular,10,jul,369,6,-1,0,,False
37,technician,married,secondary,False,480,False,False,cellular,22,oct,344,2,182,8,other,True
35,technician,married,secondary,False,2789,True,False,cellular,4,sep,256,2,94,1,failure,False
50,technician,single,secondary,False,3897,False,False,cellular,26,oct,298,1,-1,0,,False
36,technician,divorced,secondary,False,487,False,True,cellular,11,aug,268,3,-1,0,,False
41,admin.,married,secondary,False,5110,True,False,cellular,13,apr,231,1,-1,0,,False
28,management,married,tertiary,False,318,True,False,,27,may,4,4,-1,0,,False
42,technician,single,tertiary,False,-411,True,False,cellular,12,may,78,5,292,3,failure,False
60,retired,married,secondary,False,4820,False,False,,5,jun,419,1,-1,0,,False
28,management,single,tertiary,False,4937,True,False,telephone,13,may,421,3,-1,0,,False
48,entrepreneur,married,secondary,False,725,False,True,cellular,10,jul,105,1,-1,0,,False
51,entrepreneur,married,tertiary,False,5403,False,False,,6,jun,42,1,-1,0,,False
32,technician,married,tertiary,False,4089,False,False,cellular,26,may,114,7,287,3,failure,False
35,technician,married,tertiary,False,188,False,False,cellular,26,aug,286,2,-1,0,,False
37,technician,married,,False,189,False,False,cellular,1,oct,238,1,107,2,success,True
38,blue-collar,divorced,secondary,False,2998,True,False,,11,jun,91,1,-1,0,,False
77,retired,married,secondary,False,610,False,False,cellular,13,aug,766,3,-1,0,,False
32,management,single,,False,787,False,False,cellular,28,jan,92,1,-1,0,,False
43,technician,divorced,secondary,False,167,False,False,cellular,4,aug,211,3,-1,0,,False
36,management,single,tertiary,False,243,True,False,cellular,7,may,160,2,360,3,failure,False
29,management,married,tertiary,False,877,False,False,cellular,3,feb,166,3,-1,0,,False
32,admin.,single,secondary,False,2817,True,False,cellular,21,nov,195,1,-1,0,,False
41,management,divorced,tertiary,False,4567,True,True,cellular,16,jul,106,1,-1,0,,False
26,services,single,secondary,False,127,True,True,cellular,23,jul,85,3,-1,0,,False
34,blue-collar,married,primary,False,176,False,False,cellular,24,jul,78,1,-1,0,,False
57,retired,married,tertiary,False,0,True,True,,28,may,648,1,-1,0,,True
36,services,single,secondary,False,1482,True,False,cellular,18,nov,177,2,174,1,other,False
42,blue-collar,married,secondary,False,3052,True,False,,27,may,32,1,-1,0,,False
35,technician,divorced,secondary,False,56,False,False,cellular,29,aug,24,12,-1,0,,False
52,entrepreneur,divorced,primary,False,278,True,False,,7,may,688,2,-1,0,,False
36,management,single,tertiary,False,3875,True,False,,27,may,21,5,-1,0,,False
46,technician,married,secondary,False,-337,True,False,,27,may,112,1,-1,0,,False
60,management,divorced,tertiary,False,366,False,False,cellular,3,jun,593,1,-1,0,,True
57,housemaid,married,primary,False,501,True,True,cellular,7,aug,59,2,-1,0,,False
48,management,married,tertiary,False,998,True,False,cellular,29,jan,121,3,-1,0,,False
59,self-employed,married,primary,False,0,True,False,telephone,28,jul,97,2,-1,0,,False
39,management,married,tertiary,False,246,False,False,cellular,11,aug,86,2,-1,0,,False
44,blue-collar,married,secondary,False,-182,True,True,cellular,14,may,10,10,-1,0,,False
27,management,single,tertiary,False,446,False,False,cellular,23,jun,205,3,-1,0,,False
59,retired,married,secondary,False,1173,False,False,,9,jun,77,2,-1,0,,False
36,technician,divorced,secondary,False,5957,True,False,cellular,18,nov,138,2,-1,0,,False
44,admin.,married,secondary,False,205,False,False,cellular,3,nov,289,1,-1,0,,True
50,admin.,married,secondary,False,0,False,False,cellular,4,aug,86,4,-1,0,,False
41,management,divorced,tertiary,False,369,True,False,telephone,22,aug,9,3,-1,0,,False
47,admin.,married,secondary,False,1934,False,True,cellular,14,may,225,1,364,1,failure,False
32,technician,single,tertiary,False,259,False,False,cellular,22,jul,407,4,-1,0,,False
38,blue-collar,married,secondary,False,284,True,True,,3,jun,1030,6,-1,0,,False
55,blue-collar,married,,False,23,False,False,cellular,13,aug,123,2,-1,0,,False
38,management,single,tertiary,False,1373,False,False,cellular,22,oct,119,4,-1,0,,False
31,management,single,tertiary,False,62,True,False,cellular,18,may,175,1,293,5,failure,False
38,blue-collar,divorced,secondary,False,157,False,False,,9,jun,299,5,-1,0,,False
29,unemployed,single,tertiary,False,991,False,False,cellular,5,feb,563,1,-1,0,,False
55,services,married,secondary,False,186,True,True,,9,may,241,1,-1,0,,False
35,unemployed,married,secondary,False,977,True,False,cellular,4,may,52,4,91,1,other,False
40,self-employed,single,tertiary,False,2893,False,False,cellular,2,jun,76,3,-1,0,,False
34,blue-collar,married,secondary,False,1897,True,True,cellular,19,nov,441,1,-1,0,,False
32,technician,single,tertiary,False,5514,False,False,cellular,22,apr,319,1,182,1,success,True
33,blue-collar,married,secondary,False,889,True,False,,18,sep,13,1,373,6,success,False
33,management,married,tertiary,False,273,True,False,,16,may,803,1,-1,0,,True
37,admin.,married,secondary,False,1193,False,False,cellular,12,may,396,2,-1,0,,False
58,management,married,tertiary,False,2729,False,False,,18,jun,188,1,-1,0,,False
36,admin.,single,secondary,False,0,False,False,cellular,20,apr,637,1,-1,0,,False
42,blue-collar,married,secondary,False,230,True,False,,5,jun,175,7,-1,0,,False
34,technician,single,secondary,False,2729,True,False,cellular,6,apr,945,1,139,1,success,False
35,management,married,tertiary,False,317,True,False,,23,may,162,3,-1,0,,False
60,housemaid,married,primary,False,517,False,False,,12,jun,1178,3,-1,0,,False
50,management,married,tertiary,False,-470,True,False,cellular,8,may,506,2,170,3,failure,False
28,self-employed,single,tertiary,False,4579,False,False,cellular,12,jan,409,2,-1,0,,True
27,blue-collar,divorced,secondary,False,1,True,False,cellular,14,jul,116,3,-1,0,,False
37,management,married,tertiary,False,5106,False,False,cellular,30,apr,244,1,-1,0,,True
31,technician,married,tertiary,False,636,True,False,cellular,4,may,352,4,-1,0,,True
34,services,married,secondary,False,1076,False,False,cellular,12,may,152,1,182,6,success,True
38,management,married,tertiary,False,126,True,False,,21,may,164,2,-1,0,,False
32,self-employed,married,secondary,False,-33,True,False,,28,may,234,3,-1,0,,False
37,technician,married,secondary,False,430,False,False,cellular,27,aug,154,4,-1,0,,False
33,admin.,married,secondary,False,-6,True,False,,7,may,566,2,-1,0,,False
71,technician,married,tertiary,False,383,False,False,cellular,27,oct,327,2,183,3,success,False
27,technician,married,secondary,False,130,True,False,cellular,7,may,265,3,-1,0,,False
38,blue-collar,married,primary,False,2569,False,False,,9,jun,172,1,-1,0,,False
34,technician,single,secondary,False,201,False,False,cellular,22,jul,257,2,-1,0,,False
54,retired,divorced,tertiary,False,0,False,False,,13,may,618,1,-1,0,,True
30,blue-collar,married,secondary,False,6,True,False,cellular,28,jan,241,3,-1,0,,False
35,entrepreneur,single,secondary,False,475,False,True,cellular,21,jul,936,4,-1,0,,False
33,blue-collar,single,secondary,False,706,True,False,cellular,7,apr,329,1,322,1,failure,False
36,management,married,secondary,False,1825,True,False,cellular,14,may,24,1,346,1,failure,False
59,self-employed,married,tertiary,False,185,False,False,cellular,22,jun,177,5,138,1,failure,False
72,blue-collar,married,primary,False,4415,False,False,telephone,13,oct,120,1,-1,0,,False
64,management,married,tertiary,False,679,False,False,telephone,22,apr,135,3,-1,0,,False
53,technician,divorced,secondary,False,320,False,False,cellular,9,jul,175,1,-1,0,,False
35,management,single,tertiary,False,2988,True,False,cellular,25,may,179,1,-1,0,,False
58,self-employed,married,secondary,False,1407,True,False,,30,may,58,1,-1,0,,False
40,technician,married,secondary,False,1270,False,False,cellular,17,apr,342,2,-1,0,,False
41,services,divorced,secondary,False,654,True,False,cellular,13,may,139,2,-1,0,,False
48,retired,married,primary,False,5173,True,False,,18,jun,88,8,-1,0,,False
44,entrepreneur,married,tertiary,False,3463,True,True,cellular,28,aug,210,3,-1,0,,False
39,blue-collar,married,,False,0,False,False,cellular,2,feb,731,1,193,3,failure,False
61,management,married,tertiary,False,6016,False,False,cellular,2,feb,670,3,-1,0,,True
36,entrepreneur,married,primary,False,177,True,False,,12,may,63,5,-1,0,,False
28,management,married,tertiary,False,3694,False,True,cellular,8,jul,70,2,-1,0,,False
58,retired,single,secondary,False,1640,False,True,cellular,4,feb,72,6,274,4,failure,False
60,admin.,divorced,secondary,False,174,True,False,cellular,15,may,241,1,364,1,failure,False
66,admin.,single,secondary,False,10177,False,False,cellular,5,may,272,4,-1,0,,False
36,management,single,tertiary,False,490,False,False,cellular,28,aug,207,8,98,1,failure,True
49,self-employed,married,secondary,False,2576,True,False,cellular,15,may,64,6,-1,0,,False
40,services,married,secondary,False,0,False,False,,12,jun,543,2,-1,0,,False
23,technician,single,secondary,False,598,False,False,cellular,30,apr,166,1,-1,0,,False
29,management,single,tertiary,False,15459,False,False,cellular,26,may,245,3,97,7,success,False
44,blue-collar,married,primary,False,271,True,True,,9,may,94,1,-1,0,,False
54,,married,,False,2508,False,False,,20,jun,34,8,-1,0,,False
47,blue-collar,married,primary,False,320,False,False,telephone,30,jul,203,2,-1,0,,False
33,admin.,married,tertiary,False,640,False,False,cellular,24,jul,318,1,-1,0,,False
30,self-employed,married,secondary,False,1772,True,False,cellular,13,apr,158,4,-1,0,,False
27,admin.,single,secondary,False,15,False,True,cellular,21,jul,177,1,-1,0,,False
49,management,divorced,tertiary,False,2370,True,True,,17,nov,56,1,103,2,other,False
27,services,single,secondary,False,201,True,False,,4,jun,172,2,-1,0,,False
51,blue-collar,married,secondary,False,160,True,False,cellular,7,may,136,1,359,1,failure,False
32,admin.,divorced,secondary,True,5,True,True,cellular,18,may,82,3,363,2,other,False
30,blue-collar,single,secondary,False,75,True,False,,16,may,123,1,-1,0,,False
33,admin.,married,secondary,False,4902,True,False,cellular,20,nov,110,1,-1,0,,False
27,blue-collar,single,primary,False,-79,True,False,,30,may,385,5,-1,0,,False
75,retired,divorced,secondary,False,1341,False,False,cellular,18,dec,415,7,-1,0,,True
37,services,divorced,secondary,False,490,True,False,cellular,2,feb,73,1,-1,0,,False
36,technician,single,secondary,False,1521,True,False,,16,jun,243,2,-1,0,,False
37,blue-collar,married,secondary,False,131,True,False,,9,may,137,2,-1,0,,False
35,management,married,tertiary,False,8,True,False,,23,may,55,4,-1,0,,False
32,services,married,secondary,False,-632,True,True,cellular,20,apr,18,5,-1,0,,False
32,admin.,single,secondary,False,116,False,True,cellular,16,jul,255,2,-1,0,,False
35,admin.,married,primary,False,189,True,False,cellular,11,may,95,1,-1,0,,False
31,blue-collar,married,primary,False,2,True,True,cellular,10,jul,112,1,-1,0,,False
28,blue-collar,single,secondary,False,4229,True,True,cellular,5,may,205,2,-1,0,,False
27,services,married,secondary,False,54,True,False,cellular,18,may,97,1,370,1,failure,False
22,student,single,,False,549,False,False,cellular,2,sep,154,1,-1,0,,False
35,blue-collar,married,primary,False,298,True,False,cellular,13,may,135,2,370,2,failure,False
69,retired,married,primary,False,579,False,False,cellular,14,aug,230,1,-1,0,,False
37,entrepreneur,single,tertiary,False,1467,True,True,cellular,17,nov,349,1,-1,0,,False
45,admin.,single,secondary,False,0,True,False,cellular,8,may,38,1,-1,0,,False
47,management,married,tertiary,False,109,True,False,cellular,22,jul,268,1,-1,0,,False
52,management,married,tertiary,False,-11,True,False,cellular,11,may,94,4,-1,0,,False
33,services,married,secondary,False,90,True,False,cellular,28,jul,263,2,-1,0,,False
60,blue-collar,married,primary,False,493,False,False,cellular,18,aug,671,4,-1,0,,True
33,management,divorced,secondary,False,1897,True,True,,2,jun,197,1,-1,0,,False
44,admin.,married,secondary,False,2403,True,False,cellular,28,jan,180,2,-1,0,,False
38,entrepreneur,married,secondary,False,868,False,False,cellular,20,nov,452,2,-1,0,,False
54,entrepreneur,married,secondary,False,653,True,False,,15,may,352,1,-1,0,,False
32,unemployed,divorced,primary,False,0,False,False,cellular,15,jul,175,4,-1,0,,False
33,technician,married,secondary,False,0,True,True,cellular,19,nov,163,2,-1,0,,False
55,services,divorced,secondary,False,218,True,False,,29,may,200,2,-1,0,,False
51,blue-collar,married,primary,False,5050,False,True,,16,jun,75,7,-1,0,,False
48,blue-collar,married,secondary,False,741,True,False,cellular,16,apr,227,1,-1,0,,False
37,services,single,secondary,False,1050,True,False,cellular,3,feb,586,3,-1,0,,False
33,services,single,secondary,False,-56,False,True,cellular,10,jul,119,5,-1,0,,False
30,blue-collar,married,primary,False,1,True,True,telephone,22,jul,80,2,-1,0,,False
43,blue-collar,married,primary,False,-98,True,True,cellular,12,may,112,2,330,3,other,False
49,technician,married,secondary,False,4667,True,False,,19,may,130,2,-1,0,,False
54,unemployed,married,primary,False,541,True,False,cellular,3,feb,237,3,-1,0,,False
31,unemployed,married,tertiary,False,7744,False,False,cellular,26,aug,377,8,-1,0,,False
54,,married,,False,895,False,False,cellular,7,oct,335,1,-1,0,,True
36,unemployed,married,secondary,False,-129,True,False,cellular,29,jul,121,3,-1,0,,False
30,admin.,married,secondary,False,0,False,False,cellular,15,jul,127,5,-1,0,,False
27,technician,single,secondary,False,158,False,False,,1,jul,650,2,-1,0,,True
30,admin.,married,secondary,False,122,True,False,,16,may,107,1,-1,0,,False
30,blue-collar,married,secondary,False,673,True,False,,20,may,610,2,-1,0,,False
35,technician,divorced,secondary,False,0,False,False,cellular,25,aug,124,4,-1,0,,False
33,services,divorced,secondary,False,411,True,False,,8,may,216,1,-1,0,,False
43,blue-collar,divorced,primary,False,-97,True,True,cellular,31,jul,747,4,-1,0,,False
41,blue-collar,married,secondary,False,-217,True,False,cellular,11,may,313,1,349,3,other,False
41,management,divorced,tertiary,False,5037,False,False,cellular,23,apr,252,9,185,5,other,True
46,admin.,divorced,secondary,False,2232,False,False,cellular,13,feb,121,1,-1,0,,True
54,blue-collar,married,secondary,False,-932,True,False,,7,may,799,1,-1,0,,False
32,management,married,tertiary,False,913,True,False,cellular,23,jun,883,1,674,4,failure,False
30,technician,single,tertiary,False,236,True,False,,16,may,197,1,-1,0,,False
40,entrepreneur,married,primary,False,0,True,False,cellular,11,jul,271,2,-1,0,,False
30,blue-collar,married,primary,False,2581,False,False,,12,may,221,2,-1,0,,False
27,admin.,married,secondary,False,639,False,True,cellular,14,jul,243,3,-1,0,,False
41,blue-collar,married,primary,False,849,True,False,,15,may,72,1,-1,0,,False
54,services,married,secondary,False,386,True,False,cellular,2,aug,155,2,-1,0,,False
32,management,single,tertiary,False,1218,True,False,telephone,28,jan,70,2,-1,0,,False
31,management,married,tertiary,False,2603,True,False,cellular,11,feb,280,4,-1,0,,True
42,blue-collar,married,secondary,False,-921,True,False,,26,may,115,2,-1,0,,False
48,admin.,married,primary,False,607,False,False,,20,jun,29,2,-1,0,,False
34,blue-collar,married,primary,False,79,True,False,cellular,14,may,406,2,-1,0,,False
55,technician,divorced,secondary,False,61,True,True,cellular,25,aug,113,3,-1,0,,False
49,technician,married,secondary,False,1091,False,False,telephone,30,jul,47,2,-1,0,,False
46,management,divorced,tertiary,False,743,False,False,,5,jun,36,2,-1,0,,False
47,entrepreneur,married,,False,209,True,False,,6,may,135,2,-1,0,,False
24,management,single,tertiary,False,172,False,False,cellular,3,jul,67,2,-1,0,,False
58,entrepreneur,married,secondary,False,2,False,False,,16,jun,684,1,-1,0,,False
32,management,single,tertiary,False,41,False,False,cellular,21,aug,686,5,-1,0,,True
25,student,single,secondary,False,1116,True,False,cellular,2,mar,170,3,-1,0,,False
49,blue-collar,married,secondary,False,-55,False,False,,17,jun,150,3,-1,0,,False
59,retired,divorced,secondary,False,5845,False,False,cellular,14,may,1060,2,-1,0,,True
30,management,single,tertiary,False,329,True,False,,6,jun,122,16,-1,0,,False
46,blue-collar,married,secondary,False,494,True,False,,26,may,724,1,-1,0,,False
42,management,married,,False,1519,False,False,cellular,19,oct,230,1,92,1,success,True
37,entrepreneur,married,tertiary,False,2685,False,False,,20,jun,187,2,-1,0,,False
44,blue-collar,married,primary,False,-14,True,True,,19,may,179,4,-1,0,,False
49,services,married,secondary,False,5673,False,True,cellular,4,aug,357,3,-1,0,,False
41,blue-collar,married,secondary,False,1459,False,False,,5,jun,82,1,-1,0,,False
48,technician,married,tertiary,False,0,False,False,telephone,26,aug,176,15,-1,0,,False
31,management,married,secondary,False,625,True,False,cellular,7,apr,424,1,138,1,failure,False
37,student,married,,False,0,False,False,,18,jun,115,1,-1,0,,False
51,services,married,secondary,False,867,True,False,cellular,3,feb,177,2,211,3,failure,False
80,retired,married,secondary,False,8304,False,False,telephone,9,jun,712,1,64,12,failure,True
32,management,single,tertiary,False,151,True,False,,6,may,118,1,-1,0,,False
